id,country,description,designation,points,price,province,region_1,region_2,variety,winery
11,France,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Fourchaume Premier Cru,91,38,Burgundy,Chablis,Bourgogne_Franche_Comte,Chardonnay,Louis Max
12,France,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Le Nombre d'Or Brut Nature,91,85,Champagne,Champagne,Grand_Est,Chardonnay,Aubry
13,France,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru,91,45,Burgundy,Chablis,Bourgogne_Franche_Comte,Chardonnay,Domaine GÈrard Duplessis
14,France,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",Ch‚teau Beauvillain-Monpezat,86,14,Southwest France,Cahors,Occitanie,Malbec-Merlot,Rigal
15,France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum,86,15,Southwest France,Buzet,Nouvelle_Aquitaine,Merlot-Malbec,Georges Vigouroux
16,France,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum,86,10,Southwest France,CÙtes de Gascogne,Nouvelle_Aquitaine,Ugni Blanc-Colombard,Georges Vigouroux
17,France,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now.",,86,20,Southwest France,Gaillac,Occitanie,RosÈ,Ch‚teau ClÈment Termes
18,France,This softly fruity wine has the lightest of tannins and plenty of simple red-berry fruits. There is an earthy edge to the young wine as well as plenty of acidity at the end. Drink now.,Il est des nÙÙÙtres!,86,15,Southwest France,,Occitanie,Gamay,Ch‚teau Coutinel
19,France,"Attractive fruity tones of red currant, raspberry and strawberry hull dance in the bouquet of this pretty rosÈ, graced by garrigue accents of lavender and rosemary. Flavors of red berry skin and peach pit unfold on the medium-weight palate, framed by soft tannins and a delicate spice note that lingers on the close.",Le,90,18,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,Occitanie,RosÈ,Ch‚teau de Lancyre
20,France,"Lightly structured, this is a balanced, ripe wine. It has profited from the good vintage to offer strawberry, raspberry and citrus flavors that are well balanced and textured. Drink this attractive wine now.",,90,15,Bordeaux,Bordeaux RosÈ,Nouvelle_Aquitaine,RosÈ,Ch‚teau Suau
21,France,"This well-balanced, fruity wine allows space for some solid dry tannins that also show wood aging. Berry fruits shine through the structure to give a juicy character that is underlined by the fresh acidity at the end.",,89,20,Southwest France,Cahors,Occitanie,Bordeaux-style Red Blend,Chateau Quattre
22,France,"This is aged in oak, but the vessels are large casks, or foudres, so the impact isn't that noticeable. The wine is meaty and savory on the nose, but the palate shows more herb-garrigue flavors and superripe cherry fruit. Drink now‚Äì2017.",HÈritages ElevÈ en Foudres de Ch‡™ne,89,16,RhÙne Valley,CÙtes du RhÙne,Auvergne_Rhone_Alpes,RhÙne-style Red Blend,Ogier
23,France,Bright fruit is allied to a more mineral structure to give a wine that shows the freshness of the vintage plus a more long-term view. It is cool with red fruits and some firm tannins that act as a background. Drink from 2017.,,87,20,Bordeaux,Graves,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Beauregard Lagupeau
24,France,"Owned by the Cruse family, one of the Bordeaux wine aristocracy, this rich wine is dominated by Merlot, giving it ample weight. The 18 months of wood aging shows in the smoky edge to the wine, although this will soften. Drink from 2017.",,87,25,Bordeaux,Haut-MÈdoc,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau du Taillan
25,France,"The smoky aroma and toasty wood character smothers the fruit. It is a tough wine at this stage although it does hint at some of the 2012 juicy fruit flavors. Drink this firm, solid wine from 2018.",,87,20,Bordeaux,Saint-EstËphe,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau la Haye
26,France,"Intensely tannic, this structured wine has layers of wood aging, along with juicy fruits and bright acidity. There's a strongly smoky element, the wine's fruitiness balanced by a dark, toasty aftertaste. Drink from 2018.",,87,20,Bordeaux,Fronsac,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Lalande Mausse
27,France,"This is a smoky, obviously wood-aged wine. The burnt toast character is still dominant, waiting for the attractive black currant fruits to catch up. It will develop into a bright, fruity wine, so wait until 2017.",,87,25,Bordeaux,Haut-MÈdoc,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Magnol
28,France,"This ripe, now soft wine has gentle red fruits and soft acidity. It's ready to drink with its rich texture and smooth structure. The end is rounded, only just hinting at tannins.",,87,18,Bordeaux,MÈdoc,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Roc Taillade
29,France,"Owned by the same family as Ch‚teau Talbot in Saint-Julien, this vintage of SÈnÈjac is now mature, showing signs of leather and a firm structure rather than fruit. It's unlikely to develop further, so drink now.",,87,20,Bordeaux,Haut-MÈdoc,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau SÈnÈjac
30,France,"The chalk soil of the Rosacker vineyard has produced a rich, intensely fruity wine that is shot through with steely minerality and a wonderful perfumed character. It's so crisp and fresh while also being densely textured and complex. The wine has a long future, drink from 2017.",Rosacker Grand Cru,93,39,Alsace,Alsace,Grand_Est,Riesling,Domaine Jean-Luc Mader
31,France,"Beautifully balanced, this conveys both rich fruit and a tense, intense minerality. Combining the two strands impeccably, it brings out tangy apple and pink grapefruit flavors and a steely, tight acidity. It's a structured wine that needs to age. Drink from 2018.",Clos H‡§userer Wintzenheim,93,65,Alsace,Alsace,Grand_Est,Riesling,Domaine Zind-Humbrecht
32,France,"Paradis is a parcel within the Pfingstberg Grand Cru, giving particularly fine and rich Riesling. This ripe and full-bodied wine manages to preserve all the elegance and style of the grape while having full tropical fruits, juicy acidity and a warm, rounded aftertaste. It will certainly age, so drink from 2017.",Pfingstberg Paradis Grand Cru,93,42,Alsace,Alsace,Grand_Est,Riesling,Domaine FranÁois Schmitt
33,France,"This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years.",Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61,Alsace,Alsace,Grand_Est,Riesling,Gustave Lorentz
34,France,"Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious.",Heissenberg,93,48,Alsace,Alsace,Grand_Est,Riesling,Domaine Ostertag
35,France,"From one of the many recent exceptional years in Sauternes, this ripe, unctuous wine has balanced the rich honeyed fruit and the drier edge of botrytis. It's full in the mouth, with Seville orange and a light touch of ginger. Drink from 2019.",,93,120,Bordeaux,Sauternes,Nouvelle_Aquitaine,Bordeaux-style White Blend,Ch‚teau Raymond-Lafon
36,France,"This ripe, full wine has both great minerality and rich white fruits that are aromatic as well as very fresh. The fruits are laced with citrus to give a complex wine that deserves aging. Drink from 2017.",Domaine Saint-RÈmy Schlosberg Grand Cru,92,35,Alsace,Alsace,Grand_Est,Riesling,Domaine Ehrhart
37,France,"Floral aromas lead into a rich, not quite dry wine that is beautifully ripe and perfumed. It is rounded and opulent while preserving the steely, mineral texture. Still young, it demands aging. Drink from 2017.",Pfersigberg Grand Cru,92,48,Alsace,Alsace,Grand_Est,Riesling,Domaine Zinck
38,France,"As its name implies, this wine comes from chalk soil, giving both a strongly mineral character and ripe tropical fruit flavors. It's rich, full in the mouth, dry but with such a ripe character there seems to be some sweetness. It's impressively full and ready to drink now.",Calcaire,92,55,Alsace,Alsace,Grand_Est,Riesling,Domaine Zind-Humbrecht
39,France,"Smoky and toasty, this is a structured wine. It has layers of black currant fruits, fresh acidity as well as firm tannins that overlay the juicy fruitiness. It needs to age. Drink from 2016.",,88,16,Bordeaux,Blaye CÙtes de Bordeaux,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Chantemerle
40,France,"While the wine is rich, it's also very crisp and fruity. Tight acidity and a chalky, steely texture are balanced by ripe apples and pink grapefruit. It's a wine for drinking this year, bright and fruity.",,88,16,Bordeaux,Bordeaux Blanc,Nouvelle_Aquitaine,Bordeaux-style White Blend,Ch‚teau Chaubinet
41,France,"A tight and herbaceous wine that is crisp, mineral and fresh. It shows a great potential for fruitiness, with natural juicy acidity as well as a bright, aromatic aftertaste. Drink from 2016.",,88,,Bordeaux,Pessac-LÈognan,Nouvelle_Aquitaine,Bordeaux-style White Blend,Ch‚teau Ferran
42,France,"Round and velvet smooth, it has blackberry fruits that are full in the mouth, giving freshness while also making the wine rich and generous. The tannins are already well-integrated into this soft wine. Drink from 2015.",,88,15,Bordeaux,CÙtes de Bourg,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Fongalan
43,France,"Crisp and deliciously fruity, this is lively and bright. Acidity points up the lime and grapefruit flavors, leaving a fresh, juicy aftertaste. Drink now for maximum pleasure.",,88,13,Bordeaux,Bordeaux Blanc,Nouvelle_Aquitaine,Bordeaux-style White Blend,Ch‚teau Mezain
44,France,"This fresh and fruity sparkling wine is crisp with apple skin and apricot flavors. Ripe and full in the mouth , it has a lightly creamy mousse. The blend of Chenin Blanc and Chardonnay gives delicious fruitiness and tight final acidity.",Noctambule,88,,Loire Valley,CrÈmant de Loire,Pays_de_Loire,Chenin Blanc-Chardonnay,Musset-Roullier
45,France,"A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste.",Domaine de Saint-Pierre,88,23,Loire Valley,Sancerre,Centre_Val_de_Loire,Sauvignon Blanc,Pierre Prieur et Fils
46,France,"Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.",Pertuisots Premier Cru,92,92,Burgundy,Beaune,Bourgogne_Franche_Comte,Pinot Noir,Domaine de Bellene
47,France,"A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017.",Clos du Cailleret Premier Cru,92,94,Burgundy,Chassagne-Montrachet,Bourgogne_Franche_Comte,Chardonnay,Domaine Vincent Girardin
48,France,"The estate wine from Ch‚teau du CËdre is anything but simple. A powerful series of tannins and dense black fruits offer both a dark texture and great fruitiness. Acidity comes through strongly and, with the tannins, promises aging. Drink from 2017.",,92,,Southwest France,Cahors,Occitanie,Malbec,Ch‚teau du CËdre
49,France,"The minty aromas indicate new wood aging as well as a ripe, polished texture. They make for a wine that has presence and structure as well as rich fruitiness, blackberry flavors and a dry, solid core. It's a sophisticated wine that can age. Drink from 2017.",RÈserve,92,30,Bordeaux,Graves,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Haut Selve
50,France,"There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink.",Les Charmes Dessus,91,60,Burgundy,Santenay,Bourgogne_Franche_Comte,Chardonnay,Domaine de Bellene
51,France,"Hugely tannic at this stage, this dense and complex wine has great structure partnered with dark black fruit and licorice. There is forward bitterness, suggesting this wine needs aging. Drink from 2017.",CuvÈe Germain,91,16,Southwest France,CÙtes du Tarn,Occitanie,Bordeaux-style Red Blend,Domaine D'en SÈgur
52,France,"This is a ripe and smoothly textured wine. It is already finely balanced, rich with toast, apricot fruits and a tight, mineral character. It is enjoyable now but will age well until 2022.",Quintessence,91,40,Burgundy,Pouilly-FuissÈ,Bourgogne_Franche_Comte,Chardonnay,Domaine Sangouard-Guyot
53,France,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",,91,100,Burgundy,Clos de Vougeot,Bourgogne_Franche_Comte,Pinot Noir,Evening Land
54,France,"A ripe, wood-aged wine, it's richly smoky and fruity at the same time. The blend brings out honey, ripe apricots and peach. Acidity cuts through at the end to give a final, delicious lift. Drink now, but best wait until 2015.",Cami SaliÈ,91,,Southwest France,JuranÁon Sec,Nouvelle_Aquitaine,Gros and Petit Manseng,Lionel Osmin & Cie
55,France,"The wine comes from the grand showpiece estate of Madiran. A blend that is dominated by Tannat produces a wine that is still so young. Bold fruits and firm tannins are right to the fore, along with acidity and a strong mineral texture. It's a powerful and impressive wine that also manages elegance as well. The wine will take several more years to soften. Drink from 2020.",Ch‚teau Montus,94,35,Southwest France,Madiran,Nouvelle_Aquitaine,Tannat-Cabernet,Vignobles Brumont
56,France,"This is a wine that is beginning to show some fine maturity. There are ripe fruits still very present, but they are matched by the secondary flavors, spice and warm tannins along with the classic herbal character of MourvËdre. The wine is produced from organically grown grapes, giving purity as well as some serious structure in the background. Drink from 2018.",La BÈgude,94,44,Provence,Bandol,Provence_Alpes_Cotes_d_Azur,Provence red blend,Domaine de la BÈgude
57,France,"This is one of the classics among Provence rosÈs. Produced from organically grown grapes and coming from an impressive red-wine producing estate east of Aix-en-Provence, the wine is structured and ageworthy with its blend that includes Cabernet Sauvignon. Rich and full of red fruits, the wine should be drunk from late 2017.",,94,20,Provence,Coteaux d'Aix-en-Provence,Provence_Alpes_Cotes_d_Azur,RosÈ,Ch‚teau Vignelaure
58,France,"This is an impressively rich, still very young wine. Dominated by Bandol's own MourvËdre grape, it is dense and concentrated. Spice and dark red fruits are shot through with a wonderful herbal character that conjures the southern warmth. The wine is still just setting out and will not be ready to drink before 2019.",La BÈgude,94,44,Provence,Bandol,Provence_Alpes_Cotes_d_Azur,Provence red blend,Domaine de la BÈgude
59,France,"This is a serious wine with a lighter brighter side. Its wood aging adds spice to the ripe red fruits and brings out the concentration and intensity. It is, in its way, an unexpected side of Provence rosÈ, emphasizing richness and complexity. But it all comes together: a fine wine that, after a year of aging, is ready to drink.",Garrus,94,100,Provence,CÙtes de Provence,Provence_Alpes_Cotes_d_Azur,RosÈ,Ch‚teau d'Esclans
60,France,"From old vines in a tree-enclosed vineyard on the third terrace above the River Lot, this wine forms part of a range of wines featuring the soils and terraces of the Cahors vineyard. Named in homage to Marguerite de Massaut, a 16th-century owner of the estate, the wine is aged in new wood that gives it a minty character. That is balanced by the rich black-plum and truffle flavor and the intense acidity. The wine needs to age, so drink from 2021.",CuvÈe Marguerite Massaut,94,70,Southwest France,Cahors,Occitanie,Malbec,Ch‚teau LagrÈzette
61,France,"This is a very lively wine with a creamy mousse. The wine is towards dry, bringing out great white and citrus fruit flavors with a burst of tangy acidity. It comes from the village of Chouilly in the CÙte des Blancs, which gives the wine a tight mineral texture at the end.",Grand Cru Blanc de Blancs Chouilly Brut,91,54,Champagne,Champagne,Grand_Est,Chardonnay,A.R. Lenoble¬†
62,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets OligocËne,90,33,Alsace,Alsace,Grand_Est,Pinot Noir,Domaine Bott-Geyl
63,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018",,90,70,Burgundy,Gevrey-Chambertin,Bourgogne_Franche_Comte,Pinot Noir,Domaine Faiveley
64,France,"Translucent, fresh aromatics, like green pears glimpsed through clear water, characterize this wine. There's also an herbal edge of fresh, green foliage on this slender and refreshing wine. The limpid purity is very convincing.",Vieilles Vignes,90,27,Alsace,Alsace,Grand_Est,Sylvaner,Domaine Ostertag
65,France,"The slightest whiff of pepper on the nose leads to a spiced, leesy and slender palate on this unusual Alsace resident: it's Switzerland's Chasselas making an appearance. This is slender and while the nose is shy, the palate provides ample textures. Make as a local and have this with fresh white asparagus. The wine has a great acidic spine and luminous freshness.",Vieilles Vignes,90,22,Alsace,Alsace,Grand_Est,Chasselas,Domaine Schoffit
66,France,"The nose is like pear juice spilled onto warm earth, while the palate is more citrus-focused. A seam of almost tropical acidity links lemon to notes of pineapple, lifted by joyful freshness.",Zind,90,30,Alsace,Alsace,Grand_Est,Alsace white blend,Domaine Zind-Humbrecht
67,France,"With some firm structure, this wine also has great fruitiness. It offers plenty of raspberry fruits, good acidity and a solid texture of tannins. The acidity keeps the wine perfumed and fresh. Drink the wine from 2019.",Domaine du Pavillon Clos des Ursulines,90,80,Burgundy,Pommard,Bourgogne_Franche_Comte,Pinot Noir,Albert Bichot
68,France,"This is a finely perfumed wine, rich in both structure and ripe fruits. It is smoothly textured, a full-bodied wine that has dark cherry flavors as well as a balanced layer of acidity. The wine is still young, juicy and will develop further, so drink from 2017.",Terre de Maimbray,90,,Loire Valley,Sancerre,Centre_Val_de_Loire,Pinot Noir,Pascal & Nicolas Reverdy
69,France,"Sourced from 50+ year-old vines in the commune of Sorgues, this aromatic blend of 60% Grenache, 20% Syrah and 20% MourvËdre boasts hints of rosemary, bay leaf and clove. It's reasonably full bodied, with a long, drying finish that demands another year or two in the cellar or (preferably) some rare beef or lamb.",CuvÈe Setier,90,27,RhÙne Valley,CÙtes du RhÙne Villages,Auvergne_Rhone_Alpes,RhÙne-style Red Blend,Ch‚teau PÈgau
70,France,"This Costco brand has become a reliable source for bargain Ch‚teauneuf-du-Pape. This vintage is a bit firmer and more tannic than others, but it still weaves together cherry and leather notes into a pleasing whole. It might need a year or two to soften, but it should provide good drinking through 2025.",CuvÈe de Nalys,90,20,RhÙne Valley,Ch‚teauneuf-du-Pape,Nouvelle_Aquitaine,RhÙne-style Red Blend,Kirkland Signature
71,France,"This wood-aged wine conveys mint aromas and new-wood flavors. It is rich, full in the mouth and developing quickly. The black currant fruitiness is fresh, giving a delicious, juicy wine to drink from 2016.",CuvÈe Lucie,87,,Bordeaux,MÈdoc,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Les Hauts de Tousquiron
72,France,"Strongly aromatic, this wood-aged wine is perfumed with both toast and smokiness. The palate has fruit, but the acidity both from that fruit and the wood dominates, suggesting the wine needs to age. Drink from 2016.",,87,,Bordeaux,Graves,Nouvelle_Aquitaine,Bordeaux-style White Blend,Ch‚teau de Portets
73,France,"A blend of Colombard and Chardonnay, this wine is crisp and fruity. It has attractive bright acidity with lemon fruitiness and a mineral texture. The wine is ready to drink.",,86,10,Southwest France,CÙtes de Gascogne,Nouvelle_Aquitaine,White Blend,Domaine de Lamothe
74,France,"This is a grassy, herbal wine with attractive acidity and the crispest hint of apricots and some distinctive spice. It is fruity, ready to drink now.",,86,15,Southwest France,Bergerac Sec,Nouvelle_Aquitaine,Semillon-Sauvignon Blanc,Lionel Osmin & Cie
75,France,"This blend of 70% Grenache and 30% Syrah offers remarkable value. Thyme- and bay-scented black cherry aromas fill the glass, while the flavors add an intriguing hint of raspberry. It's not overly weighty or tannic, making it ideal for drinking any season.",Bastide de Beauvert,89,11,RhÙne Valley,CÙtes du RhÙne,Auvergne_Rhone_Alpes,Grenache-Syrah,Les Vignobles Foncalieu
76,France,"This blend of local Duras and Braucol with the more Mediterranean Syrah is attractively spicy and juicy. It is packed with red fruits, sweet berry flavors and ripe tannins. The wine is maturing well and will be ready to drink from 2016.",Les Gravels,89,19,Southwest France,Gaillac,Occitanie,Red Blend,Domaine Rotier
77,France,"This is a sweet, honeyed wine, rich with apricot fruit flavors and fresh with balancing acidity. It's fruity, mineral and generous, a great wine for fruit desserts.",Les Gravels,89,28,Southwest France,Gaillac,Occitanie,White Blend,Domaine Rotier
78,France,"La Guillotte is a parcel on the Bouissel estate, planted with old NÈgrette. This firm and structured wine is solid with black plum fruits and cherry acidity. It is still developing and will need some time to soften its tannins. Drink from 2017.",La Guillotte,89,,Southwest France,Fronton,Occitanie,Negrette,Ch‚teau Bouissel
79,France,"This widely available wine delivers aromas of cherries, leather and ProvenÁal herbs upfront, followed by a silky texture on the palate and hints of cocoa. Drink it over the next few years.",Belleruche,89,15,RhÙne Valley,CÙtes du RhÙne,Auvergne_Rhone_Alpes,Grenache-Syrah,M. Chapoutier
80,France,"A parcel of old vines in the Brandluft vineyard gives the typical concentration and intense minerality to be expected from low yields. The wine is perfumed, with a bone-dry texture and melon and orange fruitiness. It needs to age, so drink from 2017.",Brandluft Vieilles Vignes,92,,Alsace,Alsace,Grand_Est,Riesling,Boeckel
81,France,"This is rich and full-bodied, a splendid wine with its ripe yellow fruits, intensely aromatic character and a pinch of pepper. Concentrated, it finishes with a light touch of toastiness that hints at the maturity to come. Drink from 2016.",Bruderbach Clos des FrËres,92,29,Alsace,Alsace,Grand_Est,Riesling,Domaine Loew
82,France,"Part of the impressive series of JubilÈe wines that are aged before release, this Hugel Riesling is just getting to maturity with its soft aromatic character, touch of toastiness, and refreshing herbal flavors. It's now ready to drink, although it will be even better from 2016.",JubilÈÈ,92,63,Alsace,Alsace,Grand_Est,Riesling,Hugel
83,France,"This special selection, tight-cropped from 30 acres of 100% Merlot, is ripe and rich. This is a smoky and fruity wine, in barrel for 14 months. It has ripe black fruits and rich, dense structure. Spice and toast balance the fruit, giving an impressive sense of generosity. Drink from 2017.",,92,18,Bordeaux,Blaye CÙtes de Bordeaux,Nouvelle_Aquitaine,Bordeaux-style Red Blend,Ch‚teau Marsau
84,France,"The wine is pure minerality, tightly woven into a tense structure and fruits that are still very young. It's complex, allying fruit with a texture that is steely and only developing slowly. It will be impressive as it ages. Drink from 2018.",Mandelberg Grand Cru,92,,Alsace,Alsace,Grand_Est,Riesling,Jean Becker
85,France,"Situated close to the northern edge of Beaune vineyards, this premier cru has something of the soft ripeness of Savigny-lËs-Beaune next door. The wine is ripe, with tannins that are present although certainly not dominant. It has the potential to revel in its red fruits and generous texture. Drink this wine from 2019.",Les Marconnets Premier Cru,90,50,Burgundy,Beaune,Bourgogne_Franche_Comte,Pinot Noir,LabourÈ-Roi
86,France,"This structured wine still has wood aromas although on the palate the rich, dark fruits dominate. The tannins both from wood and from the fruit are firm and still young, showing the possibility of long-term aging. This complex wine should not be drunk before 2019.",,90,45,Burgundy,Morey-Saint-Denis,Bourgogne_Franche_Comte,Pinot Noir,LabourÈ-Roi
87,France,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2019.",Bastion Premier Cru,90,59,Burgundy,Beaune,Bourgogne_Franche_Comte,Chardonnay,Chanson PËre et Fils
88,France,"A soft, stony scent of pebble and the faintest melon signals a fresh, clean wine. The palate plays these aromas out softly but also with precision. That stoniness lingers on the dry, gentle finish and the lasting flavor of fresh apple peel",Rosenberg,90,24,Alsace,Alsace,Grand_Est,Sylvaner,Domaine BarmËs-Buecher
89,France,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018.",Clos de Jeu,90,,Burgundy,Marsannay,Bourgogne_Franche_Comte,Pinot Noir,Domaine Collotte
90,France,"Subtle hints of ripe, winter-stored apple on the nose lead to an equally apple-dominated palate that shows soft pepper spice. A wonderful midpalate texture and baked-apple richness are countered by lemon freshness. This is very appetizing and cries out for soft cheeses.",L'Aplomb,90,20,Alsace,Alsace,Grand_Est,White Blend,Domaine RieflÈ-Landmann
91,France,White summer blossoms and ripe green pears make for a fresh scent. The palate lifts these notions with bright lemon acidity. All is buoyed by some residual carbon dioxide. Drink soon while this is at its aromatic height.,RÈserve,90,20,Alsace,Alsace,Grand_Est,Pinot Blanc,Domaine Weinbach
92,France,"This is the home estate of Madiran superstar Alain Brumont. The wine is big, bold, rich and packed with both fruit and tannins. It has great structure and a dense dusty tannic character that promises great aging. This is a major wine that needs time. Drink it starting from 2022.",Ch‚teau BouscassÈ,94,25,Southwest France,Madiran,Nouvelle_Aquitaine,Red Blend,Vignobles Brumont
